,Date_time,Node ,Battery Current,PV sc Current,Wind Speed,Temperature,Humidity,Battery Voltage
21190,2018-08-15 06:40:53,"13,4",-13.6,-0.3,0.52,20.82,62.67,4.16
21192,2018-08-15 06:42:53,"13,4",-13.7,-0.2,0.98,20.78,62.4,4.16
21204,2018-08-15 06:54:55,"13,4",-13.8,-0.2,0.39,20.84,63.96,4.16
21208,2018-08-15 06:58:55,"13,4",-13.6,-0.6,0.78,20.77,64.71,4.16
21212,2018-08-15 07:02:56,"13,4",-13.6,-0.6,0.65,20.72,63.21,4.16
21220,2018-08-15 07:10:57,"13,4",-13.8,-0.2,0.85,20.29,64.39,4.16
21236,2018-08-15 07:26:59,"13,4",-13.5,0.6,1.57,19.42,72.61,4.15
21248,2018-08-15 07:39:01,"13,4",-13.7,2.8,0.65,19.78,69.72,4.15
21258,2018-08-15 07:49:03,"13,4",14.2,8.8,1.24,19.92,69.96,4.17
21262,2018-08-15 07:53:03,"13,4",-13.8,11.5,-0.2,19.81,70.86,4.15
21274,2018-08-15 08:05:05,"13,4",14.0,23.5,1.5,19.39,74.28,4.16
21276,2018-08-15 08:07:05,"13,4",14.2,25.4,1.5,19.4,73.58,4.15
21284,2018-08-15 08:15:06,"13,4",15.5,34.9,0.91,19.8,73.58,4.16
21286,2018-08-15 08:17:07,"13,4",18.6,37.1,0.98,19.86,72.8,4.16
21302,2018-08-15 08:33:09,"13,4",39.8,59.5,0.33,20.14,71.53,4.17
21310,2018-08-15 08:41:10,"13,4",52.0,71.2,1.7,20.32,70.32,4.18
21312,2018-08-15 08:43:10,"13,4",54.8,74.2,-0.07,20.35,69.91,4.17
21316,2018-08-15 08:47:11,"13,4",60.9,80.0,1.11,20.43,69.64,4.18
21328,2018-08-15 08:59:13,"13,4",78.7,99.0,0.78,20.82,70.55,4.19
21336,2018-08-15 09:07:14,"13,4",91.8,111.3,2.74,21.04,70.0,4.2
21342,2018-08-15 09:13:14,"13,4",76.0,120.5,2.42,21.22,69.14,4.19
21350,2018-08-15 09:21:15,"13,4",65.1,132.4,2.68,21.6,67.24,4.2
21352,2018-08-15 09:23:16,"13,4",63.1,135.7,1.57,21.68,66.57,4.2
21360,2018-08-15 09:31:17,"13,4",55.9,147.6,2.55,21.97,64.82,4.2
21366,2018-08-15 09:37:17,"13,4",50.5,156.6,1.57,22.16,64.12,4.19
21372,2018-08-15 09:43:18,"13,4",47.6,165.0,1.83,22.45,61.78,4.2
21380,2018-08-15 09:51:19,"13,4",42.8,176.3,2.61,22.68,62.41,4.2
21384,2018-08-15 09:55:19,"13,4",41.2,181.5,1.7,22.9,61.59,4.2
21388,2018-08-15 09:59:20,"13,4",39.7,187.2,1.57,22.98,60.97,4.21
21404,2018-08-15 10:15:21,"13,4",32.3,209.1,1.11,23.55,56.15,4.21
21420,2018-08-15 10:31:23,"13,4",26.4,230.3,1.18,23.95,53.55,4.21
21426,2018-08-15 10:37:24,"13,4",24.8,237.5,0.46,24.17,52.89,4.21
21444,2018-08-15 10:55:25,"13,4",20.5,258.1,1.7,25.39,47.07,4.21
21452,2018-08-15 11:03:26,"13,4",18.3,267.0,-0.2,25.37,46.34,4.21
21456,2018-08-15 11:07:26,"13,4",17.9,271.9,0.72,25.4,44.5,4.21
21460,2018-08-15 11:11:27,"13,4",17.2,276.7,0.78,25.65,44.79,4.21
21468,2018-08-15 11:19:28,"13,4",15.5,284.0,0.65,26.52,43.83,4.22
21478,2018-08-15 11:29:28,"13,4",13.3,293.0,1.11,26.72,42.17,4.22
21480,2018-08-15 11:31:28,"13,4",13.3,294.7,0.46,26.74,42.17,4.22
21486,2018-08-15 11:37:29,"13,4",12.6,298.7,1.5,26.91,41.66,4.21
21488,2018-08-15 11:39:29,"13,4",-0.3,300.0,2.48,27.04,40.86,4.21
21490,2018-08-15 11:41:29,"13,4",-0.1,300.7,0.85,27.3,39.25,4.21
21492,2018-08-15 11:43:29,"13,4",-0.1,303.1,1.05,27.48,39.95,4.21
21500,2018-08-15 11:51:30,"13,4",-0.3,309.3,0.59,27.78,38.47,4.21
21506,2018-08-15 11:57:30,"13,4",-0.2,313.7,1.24,27.87,38.75,4.22
21514,2018-08-15 12:05:31,"13,4",0.0,320.2,0.85,28.46,36.11,4.21
21550,2018-08-15 12:41:33,"13,4",0.0,338.9,1.5,30.81,30.26,4.22
21564,2018-08-15 12:55:34,"13,4",-0.3,342.0,1.76,31.51,26.36,4.22
21566,2018-08-15 12:57:34,"13,4",-0.1,342.3,1.18,31.64,26.08,4.22
21570,2018-08-15 13:01:34,"13,4",-0.1,341.9,2.74,32.06,26.73,4.21
21572,2018-08-15 13:03:34,"13,4",0.0,341.2,1.63,32.19,26.26,4.22
21588,2018-08-15 13:19:35,"13,4",0.0,344.7,2.74,33.36,23.31,4.22
21590,2018-08-15 13:21:35,"13,4",-0.2,343.9,1.89,33.41,22.15,4.21
21594,2018-08-15 13:25:35,"13,4",-0.2,343.1,3.07,33.44,20.84,4.22
21600,2018-08-15 13:31:36,"13,4",-0.4,344.5,1.63,33.67,20.7,4.21
21620,2018-08-15 13:51:37,"13,4",-0.1,341.1,3.59,34.31,19.99,4.21
21624,2018-08-15 13:55:37,"13,4",0.0,340.1,2.03,34.34,19.68,4.21
21640,2018-08-15 14:11:37,"13,4",0.0,337.9,1.7,35.3,18.67,4.22
21646,2018-08-15 14:17:38,"13,4",0.0,334.4,1.5,35.61,18.61,4.22
21650,2018-08-15 14:21:38,"13,4",-0.3,333.6,2.16,35.86,18.09,4.21
21678,2018-08-15 14:49:39,"13,4",-0.1,323.2,2.09,36.5,17.59,4.21
21698,2018-08-15 15:09:39,"13,4",-0.1,310.6,3.0,36.65,17.67,4.21
21706,2018-08-15 15:17:39,"13,4",-0.1,307.8,2.35,36.69,17.75,4.21
21722,2018-08-15 15:33:40,"13,4",-0.3,295.3,3.27,37.31,17.17,4.21
21724,2018-08-15 15:35:40,"13,4",0.1,294.3,1.11,37.26,17.36,4.21
21728,2018-08-15 15:39:40,"13,4",-0.3,286.0,2.29,37.25,17.01,4.21
21742,2018-08-15 15:53:40,"13,4",-0.2,156.9,2.68,38.73,16.01,4.21
21754,2018-08-15 16:05:41,"13,4",-0.1,47.8,1.18,37.35,16.87,4.22
21756,2018-08-15 16:07:41,"13,4",0.0,48.9,1.44,37.35,17.33,4.22
21770,2018-08-15 16:21:41,"13,4",12.4,46.2,4.38,38.25,15.83,4.21
21782,2018-08-15 16:33:41,"13,4",19.9,40.6,0.59,38.88,15.31,4.22
21784,2018-08-15 16:35:41,"13,4",19.2,39.8,2.16,38.85,15.12,4.22
21786,2018-08-15 16:37:41,"13,4",18.8,39.4,1.5,38.68,15.77,4.23
21792,2018-08-15 16:43:41,"13,4",-0.2,40.9,3.14,39.05,14.93,4.22
21798,2018-08-15 16:49:42,"13,4",-0.2,43.1,2.42,39.1,15.63,4.22
21804,2018-08-15 16:55:42,"13,4",16.9,38.5,3.79,38.67,15.15,4.22
21814,2018-08-15 17:05:42,"13,4",0.0,42.0,1.05,38.21,15.05,4.22
21836,2018-08-15 17:27:42,"13,4",-0.1,52.6,2.09,38.98,14.54,4.23
21840,2018-08-15 17:31:42,"13,4",-0.1,65.5,0.78,38.66,14.68,4.22
21842,2018-08-15 17:33:42,"13,4",-0.1,55.7,2.29,38.6,14.91,4.22
21856,2018-08-15 17:47:42,"13,4",-0.3,63.6,2.03,38.78,14.92,4.22
21864,2018-08-15 17:55:42,"13,4",0.0,90.5,2.09,39.06,15.09,4.22
21882,2018-08-15 18:13:43,"13,4",-0.4,98.1,1.18,38.34,15.52,4.22
21884,2018-08-15 18:15:43,"13,4",-0.3,96.3,2.22,38.45,15.84,4.21
21898,2018-08-15 18:29:43,"13,4",-0.4,77.7,1.83,38.57,15.84,4.21
21922,2018-08-15 18:53:43,"13,4",-0.1,48.1,1.63,38.04,15.97,4.22
21926,2018-08-15 18:57:43,"13,4",-0.2,45.8,1.63,38.02,16.9,4.21
21928,2018-08-15 18:59:43,"13,4",11.8,44.0,3.14,37.98,16.51,4.23
21930,2018-08-15 19:01:43,"13,4",0.1,42.5,2.22,37.69,16.65,4.22
21942,2018-08-15 19:13:43,"13,4",16.1,29.1,2.42,37.66,16.73,4.22
21950,2018-08-15 19:21:44,"13,4",14.9,28.4,1.5,37.15,17.01,4.22
21952,2018-08-15 19:23:44,"13,4",15.1,28.1,1.83,37.16,17.09,4.23
21972,2018-08-15 19:43:44,"13,4",-0.1,35.0,1.37,36.8,18.22,4.22
21994,2018-08-15 20:05:45,"13,4",10.7,28.2,1.89,36.26,18.92,4.22
21996,2018-08-15 20:07:45,"13,4",10.9,27.5,1.5,36.17,18.95,4.23
22004,2018-08-15 20:15:45,"13,4",10.7,22.2,1.05,36.49,19.2,4.22
22006,2018-08-15 20:17:45,"13,4",-13.8,21.3,2.74,36.47,18.81,4.23
22028,2018-08-15 20:39:46,"13,4",11.5,15.2,2.29,36.15,19.33,4.22
22038,2018-08-15 20:49:47,"13,4",-13.7,10.9,1.89,35.19,20.23,4.23
22040,2018-08-15 20:51:47,"13,4",-13.5,9.7,1.76,35.03,20.48,4.22
22058,2018-08-15 21:09:48,"13,4",-13.9,3.1,1.57,34.23,21.26,4.23
22060,2018-08-15 21:11:48,"13,4",-13.8,2.1,2.09,34.18,21.26,4.23
22062,2018-08-15 21:13:48,"13,4",-13.7,1.4,1.83,34.03,21.55,4.22
22086,2018-08-15 21:37:49,"13,4",-13.9,-0.4,2.87,32.24,21.59,4.21
22090,2018-08-15 21:41:50,"13,4",-14.7,-0.4,3.85,32.01,21.65,4.21
22092,2018-08-15 21:43:50,"13,4",-13.9,-0.2,4.12,31.91,21.68,4.21
22094,2018-08-15 21:45:50,"13,4",-13.9,-0.2,4.57,31.86,21.64,4.22
22098,2018-08-15 21:49:50,"13,4",-13.6,-0.2,3.33,31.72,21.71,4.21
22102,2018-08-15 21:53:51,"13,4",-13.6,-0.3,2.48,31.51,21.73,4.21
22104,2018-08-15 21:55:51,"13,4",-13.8,0.0,3.07,31.41,21.73,4.21
22106,2018-08-15 21:57:51,"13,4",-13.7,-0.3,2.74,31.36,21.69,4.21
22110,2018-08-15 22:01:51,"13,4",-13.7,-0.4,3.0,31.21,21.75,4.21
22116,2018-08-15 22:07:52,"13,4",-13.5,-0.3,3.0,31.05,21.78,4.21
22120,2018-08-15 22:11:52,"13,4",-13.6,-0.3,1.24,30.88,21.96,4.21
22122,2018-08-15 22:13:52,"13,4",-13.5,-0.4,0.98,30.86,22.03,4.21
22150,2018-08-15 22:41:55,"13,4",-13.9,-0.4,2.87,29.87,22.93,4.2
22152,2018-08-15 22:43:55,"13,4",-13.7,-0.3,0.85,29.83,23.08,4.21
22160,2018-08-15 22:51:56,"13,4",-13.8,-0.7,3.07,29.46,23.35,4.2
22172,2018-08-15 23:03:57,"13,4",-13.7,-0.2,2.81,29.14,23.88,4.2
22180,2018-08-15 23:11:57,"13,4",-13.5,-0.3,3.33,28.83,24.41,4.21
22186,2018-08-15 23:17:58,"13,4",-13.8,-0.3,3.46,28.7,24.66,4.21
22202,2018-08-15 23:34:00,"13,4",-13.5,0.0,2.68,28.47,24.83,4.2
22206,2018-08-15 23:38:00,"13,4",-13.5,-0.5,1.7,28.42,24.82,4.21
22214,2018-08-15 23:46:01,"13,4",-13.9,-0.5,3.0,28.32,24.81,4.21
22222,2018-08-15 23:54:02,"13,4",-13.7,-0.2,1.96,27.87,25.08,4.19
22246,2018-08-16 00:18:04,"13,4",-13.6,-0.4,1.63,27.26,25.54,4.19
22264,2018-08-16 00:36:06,"13,4",-13.6,-0.4,2.94,26.87,25.55,4.19
22266,2018-08-16 00:38:06,"13,4",-13.7,-0.3,1.89,26.82,25.62,4.19
22274,2018-08-16 00:46:07,"13,4",-13.6,-0.2,2.74,26.84,25.51,4.19
22276,2018-08-16 00:48:07,"13,4",-13.8,-0.3,3.27,26.79,25.58,4.19
22300,2018-08-16 01:12:10,"13,4",-13.9,-0.1,2.09,26.61,26.15,4.19
22316,2018-08-16 01:28:12,"13,4",-13.6,-0.3,1.83,26.22,26.63,4.19
22320,2018-08-16 01:32:12,"13,4",-13.8,-0.4,2.74,26.1,26.91,4.19
22322,2018-08-16 01:34:12,"13,4",-13.8,-0.2,1.63,26.05,26.94,4.19
22330,2018-08-16 01:42:13,"13,4",-13.6,0.0,1.18,25.94,27.26,4.18
22346,2018-08-16 01:58:15,"13,4",-13.7,-0.1,2.35,25.6,27.81,4.19
22354,2018-08-16 02:06:16,"13,4",-13.5,-0.3,1.05,25.49,28.08,4.18
22372,2018-08-16 02:24:18,"13,4",-13.7,-0.5,1.89,25.44,28.37,4.18
22380,2018-08-16 02:32:19,"13,4",-13.9,-0.4,0.91,25.15,28.7,4.18
22384,2018-08-16 02:36:19,"13,4",-13.8,-0.3,3.07,24.96,29.11,4.19
22396,2018-08-16 02:48:21,"13,4",-13.6,-0.4,2.35,24.92,29.72,4.19
22416,2018-08-16 03:08:23,"13,4",-13.5,-0.1,1.96,24.56,30.85,4.19
22420,2018-08-16 03:12:24,"13,4",-13.7,-0.3,1.7,24.52,31.06,4.18
22432,2018-08-16 03:24:25,"13,4",-13.6,-0.5,1.96,24.55,31.28,4.18
22458,2018-08-16 03:50:28,"13,4",-13.5,-0.3,2.94,24.18,32.72,4.17
22460,2018-08-16 03:52:28,"13,4",-13.5,-0.1,3.0,24.13,32.92,4.17
22476,2018-08-16 04:08:30,"13,4",-13.7,-0.3,0.52,23.98,33.75,4.17
22482,2018-08-16 04:14:31,"13,4",-13.5,-0.5,0.65,24.0,33.75,4.17
22488,2018-08-16 04:20:32,"13,4",-13.9,-0.3,1.57,23.9,34.05,4.17
22494,2018-08-16 04:26:32,"13,4",-13.9,-0.3,1.44,23.72,34.45,4.17
22498,2018-08-16 04:30:33,"13,4",-13.8,-0.5,1.37,23.6,34.89,4.17
22502,2018-08-16 04:34:33,"13,4",-13.4,-0.4,1.89,23.48,35.26,4.17
22504,2018-08-16 04:36:34,"13,4",-13.5,-0.2,1.57,23.44,35.36,4.17
22510,2018-08-16 04:42:34,"13,4",-13.7,-0.2,1.96,23.34,35.77,4.17
22516,2018-08-16 04:48:35,"13,4",-13.6,-0.3,1.5,23.22,36.03,4.17
22524,2018-08-16 04:56:36,"13,4",-13.6,-0.2,2.22,23.16,36.37,4.17
22526,2018-08-16 04:58:36,"13,4",-13.7,-0.4,1.5,23.16,36.44,4.17
22536,2018-08-16 05:08:38,"13,4",-13.7,-0.2,2.29,23.1,36.71,4.17
22540,2018-08-16 05:12:38,"13,4",-13.6,-0.1,1.37,23.02,36.84,4.17
22544,2018-08-16 05:16:39,"13,4",-13.5,-0.4,1.76,22.95,36.96,4.17
22548,2018-08-16 05:20:39,"13,4",-13.6,-0.2,2.35,22.81,37.22,4.17
22550,2018-08-16 05:22:39,"13,4",-13.7,-0.4,0.39,22.78,37.22,4.17
22556,2018-08-16 05:28:40,"13,4",-13.4,-0.6,2.48,22.64,37.41,4.16
22558,2018-08-16 05:30:40,"13,4",-13.7,-0.5,2.16,22.6,37.54,4.17
22570,2018-08-16 05:42:42,"13,4",-13.9,-0.2,1.11,22.44,38.21,4.16
22576,2018-08-16 05:48:43,"13,4",-13.6,-0.3,2.94,22.4,38.41,4.17
22588,2018-08-16 06:00:44,"13,4",-13.9,-0.2,1.44,22.21,38.96,4.17
22592,2018-08-16 06:04:45,"13,4",-13.7,-0.2,2.35,22.2,39.2,4.16
22600,2018-08-16 06:12:46,"13,4",-13.6,-0.1,2.61,22.12,39.59,4.17
22602,2018-08-16 06:14:46,"13,4",-13.8,-0.3,3.4,22.1,39.79,4.17
22608,2018-08-16 06:20:47,"13,4",-13.6,-0.4,2.94,22.1,39.79,4.17
22620,2018-08-16 06:32:48,"13,4",-13.7,-0.4,2.55,21.88,40.51,4.16
22622,2018-08-16 06:34:49,"13,4",-13.6,-0.4,0.98,21.84,40.57,4.16
22632,2018-08-16 06:44:50,"13,4",-13.6,-0.2,1.63,21.74,41.23,4.16
22634,2018-08-16 06:46:50,"13,4",-13.7,-0.3,2.42,21.76,41.23,4.17
22636,2018-08-16 06:48:51,"13,4",-14.0,-0.4,1.76,21.8,41.33,4.16
22640,2018-08-16 06:52:51,"13,4",-13.9,-0.7,2.42,21.83,41.31,4.16
22646,2018-08-16 06:58:52,"13,4",-14.0,0.0,1.83,21.8,41.43,4.16
22652,2018-08-16 07:04:53,"13,4",-13.5,-0.1,1.96,21.82,41.6,4.15
22656,2018-08-16 07:08:53,"13,4",-13.6,-0.5,2.16,21.78,41.67,4.16
22672,2018-08-16 07:24:55,"13,4",-13.9,0.3,1.7,21.77,41.53,4.17
22678,2018-08-16 07:30:56,"13,4",-13.7,0.4,2.42,21.72,41.43,4.15
22680,2018-08-16 07:32:56,"13,4",-13.4,0.5,2.09,21.7,41.42,4.16
22682,2018-08-16 07:34:57,"13,4",-13.7,1.0,1.44,21.71,41.36,4.16
22686,2018-08-16 07:38:57,"13,4",-13.7,1.2,3.4,21.76,41.16,4.16
22704,2018-08-16 07:57:00,"13,4",-13.6,8.1,1.89,21.66,40.79,4.15
22720,2018-08-16 08:13:02,"13,4",14.4,27.4,2.22,21.62,41.01,4.15
22734,2018-08-16 08:27:04,"13,4",14.2,17.5,3.0,21.55,41.14,4.16
22748,2018-08-16 08:41:06,"13,4",35.9,56.1,2.09,21.65,41.42,4.17
22750,2018-08-16 08:43:06,"13,4",14.4,33.4,1.37,21.7,41.49,4.17
22752,2018-08-16 08:45:06,"13,4",-13.9,28.2,2.61,21.68,41.35,4.17
22754,2018-08-16 08:47:06,"13,4",15.3,34.8,2.48,21.63,41.42,4.17
22756,2018-08-16 08:49:07,"13,4",23.2,43.1,2.68,21.61,41.48,4.17
22760,2018-08-16 08:53:07,"13,4",24.2,43.6,1.63,21.56,41.68,4.17
22774,2018-08-16 09:07:09,"13,4",56.8,75.9,1.11,21.69,41.82,4.17
22776,2018-08-16 09:09:09,"13,4",36.3,55.7,2.68,21.78,41.67,4.18
22780,2018-08-16 09:13:10,"13,4",82.2,100.5,3.53,21.9,41.38,4.19
22802,2018-08-16 09:35:12,"13,4",28.2,48.0,2.94,22.42,40.77,4.19
22826,2018-08-16 09:59:15,"13,4",55.0,185.1,1.7,23.01,40.43,4.2
22832,2018-08-16 10:05:16,"13,4",61.1,102.3,0.59,23.3,40.12,4.2
22836,2018-08-16 10:09:16,"13,4",58.6,78.0,2.42,23.56,39.98,4.2
22840,2018-08-16 10:13:17,"13,4",51.4,104.1,1.76,23.69,40.09,4.2
22844,2018-08-16 10:17:17,"13,4",41.1,242.1,3.0,23.84,39.81,4.21
22852,2018-08-16 10:25:18,"13,4",37.1,210.9,2.68,24.1,39.39,4.21
22870,2018-08-16 10:43:20,"13,4",29.9,251.9,3.14,24.73,37.72,4.21
22880,2018-08-16 10:53:21,"13,4",26.2,254.6,3.4,25.4,36.65,4.22
22884,2018-08-16 10:57:21,"13,4",25.2,253.7,3.46,25.49,36.39,4.21
22894,2018-08-16 11:07:22,"13,4",23.3,264.8,2.03,25.96,36.47,4.21
22898,2018-08-16 11:11:23,"13,4",21.4,269.1,3.4,26.1,35.82,4.21
22906,2018-08-16 11:19:24,"13,4",19.9,271.8,1.96,26.4,35.85,4.22
22914,2018-08-16 11:27:24,"13,4",18.4,285.5,3.98,26.83,35.05,4.22
22922,2018-08-16 11:35:25,"13,4",16.4,291.8,2.94,27.07,34.83,4.21
22924,2018-08-16 11:37:25,"13,4",15.5,295.2,1.31,27.29,34.05,4.21
22930,2018-08-16 11:43:26,"13,4",15.4,301.2,2.35,27.52,33.68,4.21
22934,2018-08-16 11:47:26,"13,4",14.6,299.7,3.27,27.6,33.58,4.21
22942,2018-08-16 11:55:27,"13,4",0.0,335.6,2.42,27.92,32.63,4.21
22948,2018-08-16 12:01:27,"13,4",-0.3,326.7,1.57,28.31,32.31,4.21
22950,2018-08-16 12:03:27,"13,4",-0.4,335.2,2.74,28.49,32.04,4.21
22960,2018-08-16 12:13:28,"13,4",12.2,342.3,1.96,29.24,31.17,4.21
22968,2018-08-16 12:21:29,"13,4",-0.2,347.8,1.57,29.48,30.52,4.21
22970,2018-08-16 12:23:29,"13,4",-0.2,341.9,1.57,29.51,30.34,4.2
22976,2018-08-16 12:29:29,"13,4",-0.4,175.0,1.96,29.39,30.62,4.22
22978,2018-08-16 12:31:29,"13,4",0.0,173.9,1.83,29.45,30.91,4.21
22980,2018-08-16 12:33:30,"13,4",-0.1,141.8,1.31,29.38,30.9,4.22
22992,2018-08-16 12:45:30,"13,4",-0.2,343.2,2.42,30.27,29.93,4.21
23006,2018-08-16 12:59:31,"13,4",0.0,345.9,0.26,31.14,28.59,4.22
23012,2018-08-16 13:05:32,"13,4",-0.3,342.1,1.5,31.78,27.55,4.21
23016,2018-08-16 13:09:32,"13,4",-0.4,338.1,1.37,31.02,28.22,4.21
23028,2018-08-16 13:21:33,"13,4",-0.3,340.0,1.37,31.72,28.13,4.21
23036,2018-08-16 13:29:33,"13,4",0.2,344.5,1.44,32.1,27.87,4.21
23040,2018-08-16 13:33:33,"13,4",0.1,341.0,1.7,32.04,27.86,4.21
23054,2018-08-16 13:47:34,"13,4",-0.3,337.2,3.2,32.91,27.12,4.22
23064,2018-08-16 13:57:34,"13,4",-0.2,335.6,1.05,33.26,26.34,4.22
23072,2018-08-16 14:05:35,"13,4",0.0,335.1,1.7,33.89,25.79,4.21
23074,2018-08-16 14:07:35,"13,4",0.1,335.0,1.18,33.86,25.87,4.22
23088,2018-08-16 14:21:36,"13,4",0.0,330.5,1.37,34.34,25.12,4.22
