,Date_time,Node ,Battery Current,PV sc Current,Wind Speed,Temperature,Humidity,Battery Voltage
20734,2018-08-14 23:03:58,"13,4",-13.7,-0.2,1.89,30.27,21.06,4.2
20738,2018-08-14 23:07:58,"13,4",-13.6,-0.2,1.7,30.2,21.47,4.2
20744,2018-08-14 23:13:58,"13,4",-13.9,-0.2,0.46,30.1,21.76,4.2
20754,2018-08-14 23:23:59,"13,4",-13.6,-0.5,1.96,29.6,22.69,4.19
20758,2018-08-14 23:28:00,"13,4",-13.6,-0.1,1.44,29.51,22.83,4.19
20762,2018-08-14 23:32:00,"13,4",-13.5,-0.2,1.24,29.37,22.82,4.2
20764,2018-08-14 23:34:00,"13,4",-13.7,-0.5,1.5,29.36,23.12,4.19
20772,2018-08-14 23:42:01,"13,4",-13.6,-0.3,1.63,29.3,23.23,4.2
20774,2018-08-14 23:44:01,"13,4",-13.5,-0.6,0.98,29.21,23.18,4.19
20778,2018-08-14 23:48:02,"13,4",-13.9,-0.5,1.57,29.02,23.58,4.19
20784,2018-08-14 23:54:02,"13,4",-13.7,-0.4,1.5,28.8,24.3,4.19
20794,2018-08-15 00:04:03,"13,4",-13.5,-0.4,1.89,28.7,24.88,4.19
20800,2018-08-15 00:10:04,"13,4",-13.8,-0.4,0.98,28.59,25.05,4.19
20806,2018-08-15 00:16:04,"13,4",-13.3,-0.4,0.85,28.57,25.2,4.19
20808,2018-08-15 00:18:05,"13,4",-13.7,0.0,0.65,28.63,25.13,4.19
20830,2018-08-15 00:40:07,"13,4",-13.8,-0.3,0.39,27.95,26.17,4.19
20850,2018-08-15 01:00:09,"13,4",-13.5,-0.2,1.44,26.84,27.54,4.19
20852,2018-08-15 01:02:09,"13,4",-13.7,-0.4,1.57,26.76,27.71,4.19
20854,2018-08-15 01:04:09,"13,4",-13.7,-0.2,1.63,26.72,27.68,4.19
20860,2018-08-15 01:10:10,"13,4",-13.6,-0.2,1.63,26.67,26.99,4.19
20862,2018-08-15 01:12:10,"13,4",-13.6,-0.3,1.05,26.62,26.98,4.19
20866,2018-08-15 01:16:11,"13,4",-13.6,-0.3,0.65,26.63,27.09,4.19
20874,2018-08-15 01:24:12,"13,4",-13.5,-0.1,1.24,27.0,27.12,4.18
20876,2018-08-15 01:26:12,"13,4",-13.7,-0.6,0.78,26.99,27.12,4.19
20882,2018-08-15 01:32:13,"13,4",-13.6,0.0,0.91,26.84,26.89,4.19
20884,2018-08-15 01:34:13,"13,4",-13.7,-0.1,-0.33,26.82,27.47,4.19
20886,2018-08-15 01:36:13,"13,4",-13.5,-0.4,-0.52,26.8,27.57,4.19
20906,2018-08-15 01:56:15,"13,4",-13.7,-0.3,1.05,26.3,29.22,4.18
20918,2018-08-15 02:08:17,"13,4",-13.8,-0.1,0.26,25.9,29.08,4.18
20924,2018-08-15 02:14:17,"13,4",-13.7,-0.2,0.2,25.92,29.76,4.18
20936,2018-08-15 02:26:19,"13,4",-13.6,-0.3,1.11,25.6,28.92,4.18
20938,2018-08-15 02:28:19,"13,4",-13.8,-0.4,0.78,25.58,29.59,4.18
20940,2018-08-15 02:30:19,"13,4",-13.6,-0.2,1.7,25.54,29.23,4.18
20946,2018-08-15 02:36:20,"13,4",-13.8,-0.3,1.37,25.4,28.72,4.18
20954,2018-08-15 02:44:21,"13,4",-13.4,-0.5,0.72,25.33,28.36,4.18
20960,2018-08-15 02:50:22,"13,4",-13.4,-0.3,0.46,25.27,28.32,4.17
20962,2018-08-15 02:52:22,"13,4",-13.6,-0.2,0.52,25.3,27.89,4.18
20974,2018-08-15 03:04:24,"13,4",-13.7,-0.3,0.13,25.27,28.78,4.18
20976,2018-08-15 03:06:24,"13,4",-13.7,-0.2,0.98,25.21,28.71,4.18
20978,2018-08-15 03:08:24,"13,4",-13.7,0.0,0.65,25.17,28.77,4.18
20980,2018-08-15 03:10:24,"13,4",-13.7,-0.4,0.52,25.17,28.27,4.18
20986,2018-08-15 03:16:25,"13,4",-13.4,-0.3,0.59,24.62,30.58,4.17
20990,2018-08-15 03:20:26,"13,4",-13.8,-0.2,0.91,24.51,30.71,4.17
20992,2018-08-15 03:22:26,"13,4",-13.7,-0.4,0.65,24.26,29.98,4.18
20994,2018-08-15 03:24:26,"13,4",-13.7,-0.3,1.5,24.14,30.96,4.17
20996,2018-08-15 03:26:26,"13,4",-13.5,-0.7,0.52,24.13,30.57,4.19
21018,2018-08-15 03:48:29,"13,4",-13.5,-0.4,1.37,22.61,33.49,4.17
21024,2018-08-15 03:54:30,"13,4",-13.7,-0.4,1.24,22.5,34.76,4.17
21048,2018-08-15 04:18:33,"13,4",-13.6,-0.2,1.05,22.6,33.42,4.17
21056,2018-08-15 04:26:34,"13,4",-13.8,-0.4,0.39,22.44,33.05,4.16
21076,2018-08-15 04:46:37,"13,4",-13.8,-0.3,1.18,22.24,36.07,4.17
21080,2018-08-15 04:50:37,"13,4",-13.7,-0.1,0.13,22.25,39.2,4.17
21088,2018-08-15 04:58:38,"13,4",-13.4,-0.5,1.96,22.08,43.39,4.17
21102,2018-08-15 05:12:40,"13,4",-13.4,-0.3,0.85,22.08,44.48,4.17
21104,2018-08-15 05:14:41,"13,4",-13.8,-0.2,1.18,22.12,43.92,4.17
21106,2018-08-15 05:16:41,"13,4",-13.7,-0.6,0.72,22.1,44.68,4.17
21124,2018-08-15 05:34:43,"13,4",-13.7,0.1,1.63,21.72,51.17,4.17
21128,2018-08-15 05:38:44,"13,4",-13.7,-0.3,2.29,21.5,55.88,4.17
21134,2018-08-15 05:44:45,"13,4",-13.5,-0.3,2.35,21.29,57.41,4.16
21136,2018-08-15 05:46:45,"13,4",-13.7,-0.5,1.05,21.29,58.23,4.16
21142,2018-08-15 05:52:46,"13,4",-13.5,-0.5,-0.07,21.34,58.67,4.15
21164,2018-08-15 06:14:49,"13,4",-13.6,-0.5,0.98,21.43,56.27,4.16
21168,2018-08-15 06:18:49,"13,4",-13.6,-0.1,0.65,21.35,56.35,4.16
21170,2018-08-15 06:20:50,"13,4",-13.7,-0.5,0.78,21.31,56.13,4.15
21172,2018-08-15 06:22:50,"13,4",-13.6,-0.3,0.78,21.26,56.8,4.17
