,time,photovoltaic_current,wind_speed,battery_current,battery_voltage,temperature,humidity
0,0.0,-0.54,3.09,-27.58,8.4,59.03,45.68
1,300.0,-0.59,3.29,-27.68,8.4,58.95,46.08
2,600.0,-0.54,3.18,-27.73,8.4,58.87,46.26
3,900.0,-0.47,3.0,-27.76,8.4,58.79,46.38
4,1200.0,-0.4,2.81,-27.8,8.4,58.71,46.51
5,1500.0,-0.46,4.37,-27.8,8.4,58.56,46.36
6,1800.0,-0.4,4.12,-27.9,8.4,58.55,46.31
7,2100.0,-0.37,3.84,-27.85,8.4,58.33,46.92
8,2400.0,-0.35,3.62,-27.79,8.4,58.11,47.53
9,2700.0,-0.32,3.41,-27.73,8.4,57.89,48.15
10,3000.0,-0.58,3.02,-27.61,8.4,57.75,48.45
11,3300.0,-0.44,3.37,-27.6,8.39,57.47,48.56
12,3600.0,-0.81,2.98,-27.65,8.4,57.17,48.79
13,3900.0,-0.56,3.26,-27.53,8.4,57.02,48.78
14,4200.0,-0.53,3.27,-27.53,8.4,56.95,48.63
15,4500.0,-0.57,3.19,-27.57,8.39,56.91,48.43
16,4800.0,-0.58,2.99,-27.63,8.39,56.92,48.25
17,5100.0,-0.54,2.58,-27.71,8.4,57.04,48.13
18,5400.0,-0.5,2.18,-27.8,8.4,57.17,48.0
19,5700.0,-0.52,2.26,-27.79,8.4,57.06,48.27
20,6000.0,-0.54,2.36,-27.78,8.4,56.94,48.55
21,6300.0,-0.56,2.46,-27.77,8.4,56.83,48.83
22,6600.0,-0.58,2.56,-27.76,8.4,56.71,49.12
23,6900.0,-0.6,2.67,-27.75,8.39,56.59,49.4
24,7200.0,-0.62,2.77,-27.74,8.39,56.48,49.68
25,7500.0,-0.64,2.87,-27.73,8.39,56.36,49.96
26,7800.0,-0.67,2.97,-27.72,8.39,56.24,50.24
27,8100.0,-0.69,3.07,-27.71,8.39,56.13,50.52
28,8400.0,-0.7,3.14,-27.7,8.39,56.01,50.63
29,8700.0,-0.7,3.16,-27.7,8.39,55.91,50.39
30,9000.0,-0.7,3.17,-27.7,8.39,55.8,50.16
31,9300.0,-0.7,3.19,-27.7,8.39,55.69,49.92
32,9600.0,-0.7,3.2,-27.7,8.39,55.59,49.69
33,9900.0,-0.64,3.32,-27.58,8.39,55.56,49.63
34,10200.0,-0.6,3.36,-27.53,8.39,55.56,49.55
35,10500.0,-0.6,3.23,-27.63,8.39,55.6,49.39
36,10800.0,-0.56,3.01,-27.7,8.39,55.62,49.41
37,11100.0,-0.51,2.85,-27.7,8.39,55.47,49.9
38,11400.0,-0.54,2.92,-27.7,8.39,55.22,50.47
39,11700.0,-0.56,3.0,-27.7,8.39,54.97,51.04
40,12000.0,-0.59,3.07,-27.7,8.39,54.72,51.6
41,12300.0,-0.61,3.14,-27.7,8.38,54.47,52.17
42,12600.0,-0.64,3.22,-27.7,8.38,54.22,52.74
43,12900.0,-0.66,3.29,-27.7,8.38,53.96,53.31
44,13200.0,-0.69,3.36,-27.7,8.38,53.71,53.88
45,13500.0,-0.65,3.46,-27.65,8.38,53.29,53.94
46,13800.0,-0.5,3.09,-27.54,8.38,52.81,54.88
47,14100.0,-0.56,3.21,-27.49,8.38,52.79,54.8
48,14400.0,-0.62,3.36,-27.47,8.38,52.81,54.62
49,14700.0,-0.68,3.51,-27.45,8.38,52.83,54.44
50,15000.0,-0.74,3.67,-27.44,8.38,52.86,54.27
51,15300.0,-0.81,3.82,-27.42,8.38,52.88,54.09
52,15600.0,-0.87,3.97,-27.41,8.38,52.9,53.91
53,15900.0,-0.87,3.97,-27.45,8.38,52.83,53.97
54,16200.0,-0.81,3.81,-27.54,8.38,52.68,54.28
55,16500.0,-0.74,3.65,-27.63,8.38,52.52,54.6
56,16800.0,-0.68,3.5,-27.69,8.38,52.4,55.35
57,17100.0,-0.63,3.4,-27.68,8.38,52.37,57.25
58,17400.0,-0.57,3.3,-27.66,8.38,52.33,59.15
59,17700.0,-0.51,3.2,-27.64,8.38,52.3,61.05
60,18000.0,-0.45,3.09,-27.62,8.38,52.26,62.94
61,18300.0,-0.4,3.0,-27.6,8.38,52.23,64.79
62,18600.0,-0.4,3.0,-27.6,8.38,52.26,65.9
63,18900.0,-0.4,3.0,-27.6,8.37,52.29,67.01
64,19200.0,-0.4,3.0,-27.6,8.37,52.33,68.13
65,19500.0,-0.33,2.49,-27.67,8.37,52.26,67.53
66,19800.0,-0.75,3.42,-27.62,8.37,52.14,67.32
67,20100.0,-0.56,3.5,-27.68,8.38,51.94,72.2
68,20400.0,-0.53,3.4,-27.73,8.38,51.78,75.3
69,20700.0,-0.57,3.21,-27.77,8.37,51.65,77.45
70,21000.0,-0.56,3.05,-27.82,8.37,51.56,79.15
71,21300.0,-0.42,2.98,-27.89,8.37,51.59,79.5
72,21600.0,-0.28,2.91,-27.96,8.37,51.62,79.85
73,21900.0,-0.68,2.56,-27.69,8.36,51.65,79.23
74,22200.0,-0.53,2.65,-27.64,8.37,51.61,79.12
75,22500.0,-0.57,2.71,-27.71,8.37,51.51,79.76
76,22800.0,-0.62,2.77,-27.78,8.38,51.41,80.4
77,23100.0,-0.67,2.82,-27.85,8.38,51.31,81.05
78,23400.0,-0.53,2.91,-27.78,8.37,51.22,81.62
79,23700.0,-0.7,3.46,-27.62,8.36,51.15,83.35
80,24000.0,-0.7,3.6,-27.65,8.37,51.11,83.86
81,24300.0,-0.7,3.74,-27.69,8.37,51.07,84.37
82,24600.0,-0.67,3.69,-27.71,8.37,51.01,84.77
83,24900.0,-0.63,3.53,-27.74,8.37,50.94,85.1
84,25200.0,-0.58,3.36,-27.76,8.37,50.87,85.43
85,25500.0,-0.54,3.2,-27.78,8.37,50.8,85.76
86,25800.0,-0.47,3.08,-27.79,8.37,50.66,86.44
87,26100.0,-0.35,3.14,-27.75,8.36,50.25,88.44
88,26400.0,-0.22,3.19,-27.71,8.36,49.83,90.43
89,26700.0,0.28,2.96,-27.55,8.36,49.7,91.34
90,27000.0,0.71,2.99,-27.68,8.36,49.74,92.62
91,27300.0,1.88,3.21,-27.66,8.36,49.89,92.04
92,27600.0,3.23,3.48,-27.61,8.36,50.06,91.01
93,27900.0,5.78,2.99,-27.4,8.36,50.17,90.21
94,28200.0,9.43,2.95,-27.48,8.36,50.15,92.3
95,28500.0,13.55,2.68,-13.95,8.36,50.05,92.85
96,28800.0,17.93,2.36,-6.37,8.36,49.87,93.4
97,29100.0,23.06,2.43,-20.75,8.36,49.7,94.48
98,29400.0,28.42,3.12,-3.41,8.37,49.87,93.47
99,29700.0,34.56,3.21,3.51,8.37,50.04,92.62
100,30000.0,40.95,2.99,8.17,8.37,50.21,92.44
101,30300.0,47.74,2.45,14.93,8.37,50.28,93.02
102,30600.0,54.62,2.0,21.41,8.38,50.34,92.96
103,30900.0,61.69,3.22,28.1,8.38,50.44,92.57
104,31200.0,69.12,3.16,35.49,8.39,50.55,92.15
105,31500.0,76.57,3.04,42.9,8.39,50.66,91.72
106,31800.0,84.07,2.96,50.35,8.4,50.78,91.37
107,32100.0,91.83,3.08,58.02,8.4,50.94,91.35
108,32400.0,99.6,3.2,65.7,8.4,51.09,91.34
109,32700.0,107.36,3.32,73.37,8.4,51.25,91.32
110,33000.0,114.93,3.8,67.5,8.41,51.41,90.86
111,33300.0,122.46,4.06,60.85,8.41,51.61,89.66
112,33600.0,129.98,4.24,54.16,8.42,51.81,88.22
113,33900.0,137.5,4.43,47.46,8.42,52.02,86.78
114,34200.0,145.21,4.46,43.32,8.42,52.21,86.22
115,34500.0,152.8,4.13,39.38,8.41,52.37,85.51
116,34800.0,160.29,3.87,35.62,8.41,52.53,84.8
117,35100.0,167.21,3.99,32.94,8.41,52.7,84.02
118,35400.0,174.12,4.11,30.27,8.41,52.86,83.25
119,35700.0,181.04,4.23,27.59,8.41,53.03,82.47
120,36000.0,187.96,4.35,24.91,8.41,53.2,81.7
121,36300.0,195.16,4.7,22.21,8.42,53.34,80.6
122,36600.0,201.65,4.09,20.16,8.42,53.42,79.54
123,36900.0,208.25,3.56,18.36,8.42,53.5,78.75
124,37200.0,214.89,3.07,16.66,8.43,53.59,78.06
125,37500.0,221.59,3.25,14.75,8.42,53.83,77.13
126,37800.0,228.27,3.01,13.13,8.42,54.14,75.41
127,38100.0,233.68,2.52,12.54,8.42,54.41,74.27
128,38400.0,239.52,2.74,11.18,8.42,54.71,72.79
129,38700.0,245.4,3.02,9.75,8.42,55.02,71.28
130,39000.0,251.27,3.3,8.32,8.42,55.32,69.77
131,39300.0,257.14,3.58,6.9,8.42,55.63,68.25
132,39600.0,263.08,3.14,5.24,8.42,55.68,68.01
133,39900.0,268.52,2.93,4.13,8.42,55.83,67.67
134,40200.0,273.74,3.09,3.34,8.42,56.1,66.8
135,40500.0,278.96,3.25,2.54,8.43,56.38,65.93
136,40800.0,284.18,3.42,1.75,8.43,56.65,65.06
137,41100.0,288.26,3.23,0.28,8.42,56.89,64.08
138,41400.0,292.6,2.99,-1.51,8.43,57.04,64.03
139,41700.0,296.34,2.98,-4.69,8.43,57.27,63.29
140,42000.0,300.09,2.97,-7.86,8.42,57.49,62.54
141,42300.0,303.83,2.95,-11.04,8.42,57.71,61.8
142,42600.0,307.64,2.96,-13.92,8.42,57.93,60.95
143,42900.0,312.03,3.12,-14.12,8.42,58.13,59.19
144,43200.0,316.19,3.32,-14.29,8.42,58.35,57.51
145,43500.0,318.19,3.89,-14.23,8.42,58.74,56.68
146,43800.0,320.88,4.42,-14.32,8.42,59.1,56.33
147,44100.0,323.46,4.31,-14.23,8.42,59.48,56.25
148,44400.0,326.92,3.49,-13.81,8.43,60.29,54.9
149,44700.0,329.31,3.05,-13.92,8.43,60.41,54.12
150,45000.0,331.7,2.6,-14.02,8.42,60.53,53.34
151,45300.0,334.34,2.38,-14.15,8.42,60.7,52.47
152,45600.0,337.42,2.74,-14.29,8.42,61.0,51.32
153,45900.0,338.75,3.42,-14.12,8.42,61.31,49.81
154,46200.0,340.08,4.1,-13.95,8.42,61.61,48.29
155,46500.0,340.67,4.05,-14.0,8.42,61.9,47.65
156,46800.0,340.92,3.68,-14.14,8.42,62.19,47.41
157,47100.0,341.17,3.31,-14.28,8.42,62.47,47.17
158,47400.0,343.06,3.56,-14.02,8.43,63.14,45.0
159,47700.0,343.74,3.93,-14.2,8.42,63.44,44.46
160,48000.0,344.13,4.22,-14.27,8.42,63.68,43.83
161,48300.0,344.18,4.44,-14.22,8.42,63.83,43.11
162,48600.0,344.24,4.66,-14.16,8.42,63.99,42.4
163,48900.0,344.29,4.87,-14.11,8.42,64.14,41.68
164,49200.0,342.77,6.28,-14.13,8.42,64.34,40.58
165,49500.0,341.46,5.22,-14.19,8.42,64.37,40.82
166,49800.0,340.15,4.17,-14.25,8.42,64.4,41.06
167,50100.0,339.16,3.48,-14.28,8.42,64.53,41.12
168,50400.0,339.0,3.79,-14.22,8.42,64.92,40.74
169,50700.0,338.84,4.1,-14.16,8.43,65.32,40.36
170,51000.0,338.55,4.38,-14.1,8.43,65.69,40.0
171,51300.0,336.55,4.36,-14.11,8.43,65.84,39.85
